[2025-01-07 09:58:36,908] 24 root - INFO - data loading started...
[2025-01-07 09:58:56,909] 22 root - INFO - Initialize Embedding model
[2025-01-07 09:59:02,222] 210 sentence_transformers.SentenceTransformer - INFO - Use pytorch device_name: cpu
[2025-01-07 09:59:02,223] 218 sentence_transformers.SentenceTransformer - INFO - Load pretrained SentenceTransformer: sentence-transformers/all-mpnet-base-v2
[2025-01-07 09:59:04,751] 25 root - INFO - Embedding Model Loaded
[2025-01-07 09:59:04,751] 28 root - INFO - Chat Model Loaded
[2025-01-07 09:59:04,751] 29 root - INFO - loading API key...
[2025-01-07 09:59:04,752] 34 root - INFO - Saving API...
[2025-01-07 09:59:06,218] 40 root - INFO - Returning Model
[2025-01-07 09:59:06,220] 24 root - INFO - Creating Chunks...
[2025-01-07 09:59:06,220] 27 root - INFO - chunk creation completed...
[2025-01-07 09:59:06,311] 29 root - INFO - Extracting as plain text ...
[2025-01-07 09:59:06,311] 31 root - INFO - Extracting as plain text completed ...
[2025-01-07 09:59:06,311] 38 root - INFO - loading API key...
[2025-01-07 09:59:06,313] 40 root - INFO - Saving API...
[2025-01-07 09:59:06,313] 42 root - INFO - Loading Qtrant API URL,API and creating client..
[2025-01-07 09:59:06,702] 56 root - INFO - Creating collection...
[2025-01-07 09:59:07,829] 1025 httpx - INFO - HTTP Request: GET https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/exists "HTTP/1.1 200 OK"
[2025-01-07 09:59:07,866] 1025 httpx - INFO - HTTP Request: GET https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1 "HTTP/1.1 200 OK"
[2025-01-07 09:59:27,040] 1025 httpx - INFO - HTTP Request: PUT https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points?wait=true "HTTP/1.1 200 OK"
[2025-01-07 09:59:45,807] 1025 httpx - INFO - HTTP Request: PUT https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points?wait=true "HTTP/1.1 200 OK"
[2025-01-07 10:00:05,307] 1025 httpx - INFO - HTTP Request: PUT https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points?wait=true "HTTP/1.1 200 OK"
[2025-01-07 10:00:23,394] 1025 httpx - INFO - HTTP Request: PUT https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points?wait=true "HTTP/1.1 200 OK"
[2025-01-07 10:00:42,743] 1025 httpx - INFO - HTTP Request: PUT https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points?wait=true "HTTP/1.1 200 OK"
[2025-01-07 10:01:01,730] 1025 httpx - INFO - HTTP Request: PUT https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points?wait=true "HTTP/1.1 200 OK"
[2025-01-07 10:01:19,878] 1025 httpx - INFO - HTTP Request: PUT https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points?wait=true "HTTP/1.1 200 OK"
[2025-01-07 10:01:40,189] 1025 httpx - INFO - HTTP Request: PUT https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points?wait=true "HTTP/1.1 200 OK"
[2025-01-07 10:02:00,146] 1025 httpx - INFO - HTTP Request: PUT https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points?wait=true "HTTP/1.1 200 OK"
[2025-01-07 10:02:16,280] 1025 httpx - INFO - HTTP Request: PUT https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points?wait=true "HTTP/1.1 200 OK"
[2025-01-07 10:02:16,281] 71 root - INFO - Returing vectorstore...
[2025-01-07 10:02:47,834] 8 root - INFO - Retriever object created...
[2025-01-07 10:02:47,834] 12 root - INFO - Setting parameters for chain...
[2025-01-07 10:02:47,835] 26 root - INFO - Input user query...
[2025-01-07 10:02:48,030] 1025 httpx - INFO - HTTP Request: POST https://709e9862-ad6a-4017-b84b-d82c9f65a1d4.europe-west3-0.gcp.cloud.qdrant.io:6333/collections/qa_medi_chatbot1/points/query "HTTP/1.1 200 OK"
[2025-01-07 10:02:48,708] 1025 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2025-01-07 10:02:48,725] 30 root - INFO - Query response received...
[2025-01-07 10:02:48,725] 34 root - ERROR - Error in retriever model: 'answer'
